startdate,code,title,pages,chapters,notes
2026-07-20,wcg,Walk Courageously With God,260,54,
2025-06-16,lfb,Lessons you can learn from the Bible,240,103,
2023-10-23,bt,“Bearing Thorough Witness” About God’s Kingdom,224,28,
2022-04-25,lff,"""Enjoy Life Forever! - An Interactive Bible Course""",256,60,
2020-11-16,rr,Pure Worship of Jehovah​—Restored At Last!,240,22,
2017-12-18,jy,"Jesus​—The Way, the Truth, the Life",320,139,
2016-09-19,kr,God’s Kingdom Rules!,240,22,
2015-10-19,ia,Imitate Their Faith,204,23,
2014-01-06,cl,Draw Close to Jehovah,320,31,
2013-10-28,jl,What is God's Will?,32,28,
2012-11-05,jr,God’s Word for Us Through Jeremiah,192,15,
2011-03-14,bt,“Bearing Thorough Witness” About God’s Kingdom,224,28,meeting 25 minutes
2010-03-01,cf,“Come Be My Follower”,192,18,integrated in midweek
2009-02-23,lv,“Keep Yourselves in God’s Love”,224,17,congregation bible study
2008-08-04,jd,Live With Jehovah’s Day in Mind,192,14,link WOL
2007-01-08,re,Revelation​—Its Grand Climax At Hand!,320,44,link WOL
2006-04-17,bh,What Does the Bible Really Teach?,224,19,link WOL
2005-06-27,dp,Pay Attention to Daniel’s Prophecy!,320,18,link WOL
2005-05-23,kp,Keep on the Watch!,32,1,link WOL
2004-03-15,cl,Draw Close to Jehovah,320,31,link WOL
2003-10-20,wt,Worship the Only True God,190,21,link WOL
2002-09-16,ip-2,Isaiah’s Prophecy​—Light for All Mankind II,416,28,link WOL
2001-07-30,ip-1,Isaiah’s Prophecy​—Light for All Mankind I,416,30,linbk WOL
2001-02-05,ct,Is There a Creator Who Cares About You?,192,11,link WOL
2000-04-17,dp,Pay Attention to Daniel’s Prophecy!,320,18,intro KM
1999-03-22,gt,The Greatest Man Who Ever Lived,449,133,link WOL
1999-02-01,ie,What Happens to Us When We Die?,32,14,link WOL
1998-12-21,dg,Does God Really Care About Us?,32,10,
1998-11-02,pr,What Is the Purpose of Life​—How Can You Find It?,32,9,
1998-09-21,rq,What Does God Require of Us?,32,16,
1998-05-04,gm,The Bible​—God’s Word or Man’s?,192,14,link WOL
1997-10-06,fy,The Secret of Family Happiness,192,16,link WOL
1996-09-09,gt,The Greatest Man Who Ever Lived,449,133,link WOL
1996-04-29,kl,Knowledge That Leads to Everlasting Life,192,19,
1994-10-03,re,Revelation​—Its Grand Climax At Hand!,320,44,we will study ... again
1994-05-09,hp,Happiness​—How to Find It,192,20,link WOL
1993-11-08,fl,Making Your Family Life Happy,192,14,link WOL
1992-10-12,gt,The Greatest Man Who Ever Lived,449,133,link WOL
1991-03-18,re,Revelation​—Its Grand Climax At Hand!,320,44,link WOL
1991-02-11,hb,How Can Blood Save Your Life?,32,6,
1990-09-24,gm,The Bible​—God’s Word or Man’s?,192,14,link WOL
1990-06-18,ti,Should You Believe in the Trinity?,32,9,
1989-04-17,re,Revelation​—Its Grand Climax At Hand!,320,44,link WOL
1988-08-15,ce,Life​—How Did It Get Here? By Evolution or by Creation?,256,20,link WOL
1984-02-12,,United in Worship of the Only True God,,,link WOL